publishedAt,title,title_cleaned,content,content_cleaned,url,sentiment_score,entities
2025-07-08T02:05:42Z,"Bitcoin, Ethereum, Dogecoin Dip On Macro Jitters From Trump's Japan, South Korea Tariffs: Analyst Says BTC 6 Months Away From Top If History Repeats",bitcoin ethereum dogecoin dip on macro jitters from trumps japan south korea tariffs analyst says btc months away from top if history repeats,"Leading cryptocurrencies fell Monday as President Donald Trump‘s fresh tariffs on Japan and South Korea spurred risk-off sentiment. 
Cryptocurrency
Gains +/-
Price (Recorded at 9:20 p.m. ET)
Bitcoin (CRYPTO: BTC)
-0.36%
$108,488.50
Ethereum (CRYPTO: ETH) 
-0.…",leading cryptocurrencies fell monday as president donald trumps fresh tariffs on japan and south korea spurred riskoff sentiment cryptocurrency gains price recorded at pm et bitcoin crypto btc ethereum crypto eth,https://biztoc.com/x/29a2d60c713c6cc1,0.5719,"[('monday', 'DATE'), ('donald trumps', 'PERSON'), ('japan', 'GPE'), ('south korea', 'GPE'), ('pm', 'TIME')]"
2025-07-08T02:02:10Z,XRP could rally higher on steady capital inflow; check forecast,xrp could rally higher on steady capital inflow check forecast,"Key takeaways Ripple’s XRP is down less than 1% in the last 24 hours and could rally higher soon. Institutional demand for XRP continues to grow, with XRP digital asset products recording $10.6 million in weekly inflows. The cryptocurrency market is having a …",key takeaways ripples xrp is down less than in the last hours and could rally higher soon institutional demand for xrp continues to grow with xrp digital asset products recording million in weekly inflows the cryptocurrency market is having a,https://coinjournal.net/news/xrp-could-rally-higher-on-steady-capital-inflow-check-forecast/,0.25,"[('the last hours', 'TIME'), ('xrp', 'GPE'), ('million', 'CARDINAL'), ('weekly', 'DATE')]"
2025-07-08T02:00:39Z,Bitcoin Institutional Pressure Builds – Coinbase Premium Reveals US Whale Accumulation,bitcoin institutional pressure builds coinbase premium reveals us whale accumulation,"Bitcoin is once again struggling to break into uncharted territory, hovering just below the $112,000 all-time high it has tested multiple times since late May. While bulls continue to defend key demand zones above $105K, bears are starting to speculate that a…",bitcoin is once again struggling to break into uncharted territory hovering just below the alltime high it has tested multiple times since late may while bulls continue to defend key demand zones above k bears are starting to speculate that a,https://bitcoinist.com/bitcoin-institutional-pressure-builds-coinbase-premium-reveals-us-whale-accumulation/,-0.5106,[]
2025-07-08T02:00:00Z,Bitcoin Mining: Double Your Yield with AI Hash Scheduling,bitcoin mining double your yield with ai hash scheduling,"New York, USA, July 07, 2025 (GLOBE NEWSWIRE) -- New York, USA – July 7, 2025 – Institutional investment momentum around Bitcoin mining has reached a new high. The cloud-computing and artificial-intelligence giant confirmed that it will be acquired in an all-…",new york usa july globe newswire new york usa july institutional investment momentum around bitcoin mining has reached a new high the cloudcomputing and artificialintelligence giant confirmed that it will be acquired in an all,https://www.globenewswire.com/news-release/2025/07/08/3111420/0/en/Bitcoin-Mining-Double-Your-Yield-with-AI-Hash-Scheduling.html,0.1027,"[('new york', 'GPE'), ('july', 'DATE'), ('new york', 'GPE'), ('july', 'DATE')]"
2025-07-08T01:12:10Z,"Asia Morning Briefing: BTC’s Institutional Waves Are Building, Not Breaking",asia morning briefing btcs institutional waves are building not breaking,"Despite short-term demand jitters, Saphira’s Jeff Dyment says BTC’s institutional adoption is accelerating in cyclical waves, not stalling, with options data backing up that thesis.",despite shortterm demand jitters saphiras jeff dyment says btcs institutional adoption is accelerating in cyclical waves not stalling with options data backing up that thesis,https://www.coindesk.com/markets/2025/07/08/asia-morning-briefing-btcs-institutional-waves-are-building-not-breaking,0.2644,"[('jeff dyment', 'PERSON'), ('btcs institutional adoption', 'ORG')]"
2025-07-08T01:00:28Z,Bitcoin In For Another 460% Run? This Rare Fiat Signal Just Returned,bitcoin in for another run this rare fiat signal just returned,"The Global Money Supply has just hit a rare yearly growth rate of 9%. Here’s what followed for Bitcoin the last few times this signal appeared. Global Money Supply Is Currently Sharply Going Up In a new post on X, Capriole Investments founder Charles Edwards …",the global money supply has just hit a rare yearly growth rate of heres what followed for bitcoin the last few times this signal appeared global money supply is currently sharply going up in a new post on x capriole investments founder charles edwards,http://www.newsbtc.com/bitcoin-news/bitcoin-another-460-run-rare-fiat-signal-returned/,0.3818,"[('charles edwards', 'PERSON')]"
2025-07-08T01:00:20Z,Bonk crypto pushed by strong demand: Is a move beyond $0.000025 next?,bonk crypto pushed by strong demand is a move beyond next,"The highs from May have a substantial cluster of liquidation levels around them, which could stall BONK's rally.",the highs from may have a substantial cluster of liquidation levels around them which could stall bonks rally,https://ambcrypto.com/?p=508995,0.0,[]
2025-07-08T01:00:00Z,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Krispy Kreme, Strategy Incorporated, Organon, and Iovance and Encourages Investors to Contact the Firm",bragar eagel squire pc reminds investors that class action lawsuits have been filed against krispy kreme strategy incorporated organon and iovance and encourages investors to contact the firm,"NEW YORK, July 07, 2025 (GLOBE NEWSWIRE) -- Bragar Eagel & Squire, P.C., a nationally recognized shareholder rights law firm, reminds investors that class actions have been commenced on behalf of stockholders of Krispy Kreme, Inc. (NASDAQ:DNUT), Strategy Inco…",new york july globe newswire bragar eagel squire pc a nationally recognized shareholder rights law firm reminds investors that class actions have been commenced on behalf of stockholders of krispy kreme inc nasdaqdnut strategy inco,https://www.globenewswire.com/news-release/2025/07/08/3111412/0/en/Bragar-Eagel-Squire-P-C-Reminds-Investors-That-Class-Action-Lawsuits-Have-Been-Filed-Against-Krispy-Kreme-Strategy-Incorporated-Organon-and-Iovance-and-Encourages-Investors-to-Cont.html,0.0,"[('new york', 'GPE'), ('july', 'DATE'), ('bragar eagel', 'PERSON'), ('krispy kreme inc nasdaqdnut', 'ORG')]"
2025-07-08T00:30:29Z,Something Big Is Coming For XRP On July 9—Here’s Why It Matters,something big is coming for xrp on july heres why it matters,"Two days from now, the US Senate Banking, Housing, and Urban Affairs Committee will give the XRP army its most closely watched stage since the lawsuit between Ripple and the US Securities and Exchange Commission began. At 10 a.m. ET on Wednesday, July 9, the …",two days from now the us senate banking housing and urban affairs committee will give the xrp army its most closely watched stage since the lawsuit between ripple and the us securities and exchange commission began at am et on wednesday july the,https://bitcoinist.com/something-big-is-coming-for-xrp-on-july-9/,0.0772,"[('two days', 'DATE'), ('us', 'GPE'), ('senate', 'ORG'), ('housing and urban affairs committee', 'ORG'), ('the us securities and exchange commission', 'ORG'), ('wednesday july', 'DATE')]"
2025-07-08T00:00:17Z,"Trader Says Matter of Time Before Crypto Breaks to New All-Time Highs, Updates Outlook on Bitcoin, Ethereum and One Other Altcoin",trader says matter of time before crypto breaks to new alltime highs updates outlook on bitcoin ethereum and one other altcoin,"Widely followed trader Michaël van de Poppe believes that new record highs are bound to happen for the crypto market. The analyst tells his 794,400 followers on the social media platform X that he’s keeping an eye on the TOTAL chart, which tracks the market c…",widely followed trader michal van de poppe believes that new record highs are bound to happen for the crypto market the analyst tells his followers on the social media platform x that hes keeping an eye on the total chart which tracks the market c,https://dailyhodl.com/2025/07/07/trader-says-matter-of-time-before-crypto-breaks-to-new-all-time-highs-updates-outlook-on-bitcoin-ethereum-and-one-other-altcoin/,0.0,"[('michal van de poppe', 'PERSON')]"
